Row,SpeciesUID,NewickName,Speciesname,kingdom,Genic_GC,Genomic_total_Percent_GC,CAI,CAIS,wi_CAIS,AA_weighted_CAIS
19,40,Jaculus_jaculus,JaculusJaculus,vertebrate,0.5273,0.426045648,0.767160714,1.08273789802886,0.337547685264385,1.08216586918868
20,41,Latimeria_chalumnae,LatimeriaChalumnae,vertebrate,0.4667,0.409024639,0.836801708,1.04472394343939,0.333406581889825,1.04596607974833
21,42,Lepisosteus_oculatus,LepisosteusOculatus,vertebrate,0.5302,0.393809569,0.749447942,1.11210790285151,0.349426386759114,1.11255029176346
22,43,Loxodonta_africana,LoxodontaAfricana,vertebrate,0.5184,0.410659964,0.779289007,1.08125796781534,0.337410146378116,1.08046087951328
23,45,Macaca_mulatta,MacacaMulatta,vertebrate,0.5146,0.412051052,0.799367309,1.07400959267524,0.336529299808306,1.07392237075406
24,46,Macaca_nemestrina,MacacaNemestrina,vertebrate,0.5168,0.41252985,0.795181811,1.0745084043126,0.336057682753726,1.07436886186033
25,47,Mandrillus_leucophaeus,MandrillusLeucophaeus,vertebrate,0.5107,0.411075761,0.806337059,1.07391874343556,0.33690594660608,1.07390670037233
26,49,Mesocricetus_auratus,MesocricetusAuratus,vertebrate,0.5254,0.430313094,0.774009347,1.08031982518472,0.336269415997623,1.0796486380829
27,50,Microcebus_murinus,MicrocebusMurinus,vertebrate,0.5283,0.411232232,0.766101062,1.08112099588149,0.337491815758343,1.08095431670773
28,51,Microtus_ochrogaster,MicrotusOchrogaster,vertebrate,0.5253,0.429112626,0.773679852,1.08158641634809,0.337223084419475,1.08102790948588
29,53,Mus_caroli,MusCaroli,vertebrate,0.5222,0.425656291,0.78188318,1.07907590359492,0.33608649136463,1.07843068953301
30,54,Mus_musculus,MusMusculus,vertebrate,0.5169,0.421582832,0.787434459,1.07876889136875,0.33676001808882,1.07816826753584
31,55,Mus_pahari,MusPahari,vertebrate,0.5244,0.426732445,0.778329849,1.07952609562527,0.336013849014715,1.07882009094008
32,57,Mustela_putorius,MustelaPutoriusFuro,vertebrate,0.5314,0.421392459,0.757675529,1.08360304830227,0.337458265862633,1.08292344271252
33,58,Myotis_lucifugus,MyotisLucifugus,vertebrate,0.5329,0.423179485,0.750896513,1.08788183258548,0.33930422455032,1.08724042010207
34,59,Nannospalax_galili,NannospalaxGalili,vertebrate,0.5165,0.418874025,0.79252255,1.07995583965613,0.337222564703482,1.07940744127226
35,60,Nomascus_leucogenys,NomascusLeucogenys,vertebrate,0.5098,0.409507671,0.810617685,1.07142044121045,0.335884360755652,1.07140941339162
36,61,Octodon_degus,OctodonDegus,vertebrate,0.5317,0.427324815,0.757471383,1.08774524033766,0.339002532380474,1.08712565496704
37,62,Ornithorhynchus_anatinus,OrnithorhynchusAnatinus,vertebrate,0.5385,0.456340193,0.742436171,1.07865566310287,0.335426596316018,1.07764609833156
38,63,Oryctolagus_cuniculus,OryctolagusCuniculus,vertebrate,0.5386,0.441992472,0.739876688,1.08651422806759,0.337835213138752,1.08541298546221
39,65,Otolemur_garnettii,OtolemurGarnettii,vertebrate,0.5162,0.415120626,0.791294217,1.078061359248,0.336955762809516,1.07755521296483
40,67,Pan_paniscus,PanPaniscus,vertebrate,0.5132,0.412552051,0.800466239,1.0746502708346,0.336754749154496,1.07450757586472
41,68,Pan_troglodytes,PanTroglodytes,vertebrate,0.5167,0.409984262,0.794938266,1.07521952234905,0.336377672973662,1.07510675925486
42,69,Panthera_pardus,PantheraPardus,vertebrate,0.5273,0.417809383,0.766147852,1.07889976502058,0.336394688130595,1.07843603305536
43,72,Pelodiscus_sinensis,PelodiscusSinensis,vertebrate,0.4834,0.433848394,0.843227983,1.0490011213346,0.332907612562422,1.05008896354115
44,73,Peromyscus_maniculatus,PeromyscusManiculatusBairdii,vertebrate,0.5293,0.429351092,0.763910472,1.0855333622802,0.33836538531885,1.08496413735601
45,75,Propithecus_coquereli,PropithecusCoquereli,vertebrate,0.5301,0.422522621,0.761168063,1.08062780105831,0.337160893519756,1.08031912046419
46,76,Rattus_norvegicus,RattusNorvegicus,vertebrate,0.5181,0.431779363,0.783685446,1.07612811618365,0.335657410592955,1.07549887325346
47,77,Rhinopithecus_bieti,RhinopithecusBieti,vertebrate,0.5175,0.421038015,0.792648375,1.07444869937723,0.33600043859442,1.07429073774245
48,80,Saimiri_boliviensis,SaimiriBoliviensisBoliviensis,vertebrate,0.5146,0.41542421,0.798236489,1.07433351582008,0.336378340668658,1.07423498948935
49,82,Sus_scrofa,SusScrofa,vertebrate,0.5269,0.418620232,0.769346476,1.07949394065017,0.335953216218233,1.07879269350497
50,83,Taeniopygia_guttata,TaeniopygiaGuttata,vertebrate,0.5082,0.412906407,0.800558388,1.08773470089896,0.344036603837758,1.08809976779243
51,84,Takifugu_rubripes,TakifuguRubripes,vertebrate,0.5402,0.454749752,0.737631619,1.09978862123345,0.344654954352346,1.09995247437107
52,86,Xenopus_tropicalis,XenopusTropicalis,vertebrate,0.4629,0.39733272,0.832537115,1.04244596263498,0.331669348232974,1.0438939121715
53,87,Xiphophorus_maculatus,XiphophorusMaculatus,vertebrate,0.5346,0.391483611,0.751180947,1.12064013895452,0.351451528528592,1.12047805429414
54,407,Balaenoptera_acutorostrata,,vertebrate,0.5222,0.413443427,0.782636344,1.07523703097783,0.335323316669393,1.07498007055484
55,408,Bison_bison,,vertebrate,0.5155,0.416852535,0.794667006,1.07232335719085,0.334737799178527,1.07202783323804
56,409,Bos_indicus,,vertebrate,0.5274,0.425093078,0.76756835,1.07915234436694,0.335452154191305,1.07871593912563
57,410,Bos_mutus,,vertebrate,0.527,0.416200513,0.763775766,1.0849335363334,0.338227629551992,1.08437483412377
58,411,Bubalus_bubalis,,vertebrate,0.5301,0.418261844,0.767876565,1.07904415442853,0.334686481484543,1.07859574751349
59,412,Camelus_bactrianus,,vertebrate,0.5244,0.413610796,0.775909066,1.08130763587813,0.336767685273678,1.08082546734928
60,413,Camelus_dromedarius,,vertebrate,0.5234,0.413493164,0.777762294,1.08067945390788,0.336780077141569,1.08021772350594
61,414,Camelus_ferus,,vertebrate,0.5188,0.411188925,0.789412081,1.07778089560394,0.336537085834441,1.07778827581896
62,415,Castor_canadensis,,vertebrate,0.5171,0.40077412,0.799853802,1.08151618585539,0.336249342469561,1.08092738507011
63,416,Ceratotherium_simum,,vertebrate,0.5221,0.414748208,0.786664307,1.07442110081358,0.334129605916748,1.07408791153154
64,417,Chrysochloris_asiatica,,vertebrate,0.5114,0.407045556,0.805978417,1.07007067228504,0.334356653482227,1.06968650922349
65,418,Condylura_cristata,,vertebrate,0.5255,0.416335308,0.774905622,1.07688949547787,0.334831455837468,1.07643366731196
66,420,Elephantulus_edwardii,,vertebrate,0.5231,0.411154212,0.774144351,1.08078831881782,0.337065628185643,1.08029800493978
67,421,Eptesicus_fuscus,,vertebrate,0.5372,0.433230127,0.744901896,1.08431860262401,0.337480871794393,1.08386151006768
68,423,Equus_przewalskii,,vertebrate,0.5133,0.409431978,0.806093752,1.07191602070835,0.334653935357635,1.07167598217725
69,424,Erinaceus_europaeus,,vertebrate,0.5299,0.420917382,0.757812381,1.08701881621171,0.337723171599732,1.08612581941171
70,425,Hipposideros_armiger,,vertebrate,0.5326,0.41728481,0.76406157,1.08115167793711,0.335260701433524,1.08086038917418
71,427,Lipotes_vexillifer,,vertebrate,0.5329,0.41705137,0.758092761,1.08053622998569,0.336205562163403,1.08015332141526
72,429,Marmota_marmota,,vertebrate,0.5156,0.406780999,0.800276279,1.08123756158278,0.336712341972856,1.08046005692463
73,430,Meriones_unguiculatus,,vertebrate,0.5339,0.42746659,0.761881828,1.08459023852533,0.335764798702736,1.0838153838725
74,431,Miniopterus_natalensis,,vertebrate,0.5194,0.417055941,0.787648559,1.07546578682962,0.335115276453131,1.07509075868363
75,433,Myotis_brandtii,,vertebrate,0.5165,0.422016538,0.792548895,1.07167029818044,0.335007197380846,1.07165401430737
76,434,Myotis_davidii,,vertebrate,0.5203,0.423967623,0.783939064,1.07380970289669,0.335280070491861,1.07360230762805
77,437,Odobenus_rosmarus,,vertebrate,0.5275,0.420008399,0.770297229,1.07638239184036,0.335486662885992,1.07623105316301
78,438,Odocoileus_virginianus,,vertebrate,0.5271,0.417669357,0.771233022,1.07921415370993,0.335402935337654,1.0787872302937
79,439,Orcinus_orca,,vertebrate,0.5332,0.422680747,0.758181632,1.07894563188299,0.335436920888394,1.07871567883435
80,442,Pantholops_hodgsonii,,vertebrate,0.5363,0.421505969,0.749472499,1.08032739338303,0.33627981700045,1.07935823147014
81,445,Physeter_catodon,,vertebrate,0.5222,0.418633887,0.785409868,1.0688623266427,0.332800799229792,1.06865524588929
82,446,Pongo_abelii,,vertebrate,0.5121,0.409184613,0.812453747,1.06999022778647,0.334259673697194,1.07008698265186
83,447,Pteropus_alecto,,vertebrate,0.5145,0.396626717,0.802378356,1.07287064227348,0.334581676873215,1.07257858019076
84,450,Rousettus_aegyptiacus,,vertebrate,0.5236,0.400927048,0.782317519,1.07686117641316,0.334651959734626,1.07652823230769
85,452,Sorex_araneus,,vertebrate,0.5476,0.439625519,0.722397327,1.0947756519419,0.339770829232413,1.09352655736809
86,453,Trichechus_manatus,,vertebrate,0.4996,0.405507545,0.829634726,1.0618478726542,0.333427334748304,1.0619446317716
87,455,Ursus_maritimus,,vertebrate,0.515,0.419459352,0.792884052,1.07233338554983,0.335289929849067,1.07212856275078
88,461,Anser_cygnoides,,vertebrate,0.4789,0.405308718,0.831350803,1.0499405001722,0.332678845675821,1.05086735981527
89,463,Apaloderma_vittatum,,vertebrate,0.482,0.41181224,0.830364048,1.05280602645089,0.334720319705461,1.05362962339303
90,467,Boleophthalmus_pectinirostris,,vertebrate,0.5201,0.394281553,0.775363445,1.09604311084593,0.343348384948812,1.0963916729754
91,468,Buceros_rhinoceros,,vertebrate,0.4869,0.423170075,0.826457322,1.05598812466542,0.335208193953357,1.05672467321048
92,469,Calidris_pugnax,,vertebrate,0.5038,0.418460727,0.830044508,1.05822684903083,0.332855602682007,1.05898975268611
93,470,Callorhinchus_milii,,vertebrate,0.4872,0.419461717,0.829545498,1.04783495494542,0.33237503851749,1.04850210627888
94,471,Calypte_anna,,vertebrate,0.4923,0.41191216,0.825778365,1.07729528783734,0.340827635186562,1.07834523568017
95,472,Cariama_cristata,,vertebrate,0.4766,0.409708845,0.834088266,1.05165983652753,0.334616329803911,1.05272080675361
96,474,Charadrius_vociferus,,vertebrate,0.4875,0.418224755,0.835273981,1.0518126827937,0.33347493969767,1.05258817507519
97,475,Chelonia_mydas,,vertebrate,0.4871,0.431989888,0.837113857,1.05517782071493,0.33429985820724,1.05611137455043
98,477,Chrysemys_picta,,vertebrate,0.4885,0.432720594,0.838295519,1.05144030580747,0.331787130435423,1.05208889264971
99,478,Clupea_harengus,,vertebrate,0.5561,0.443246127,0.709896743,1.11786730635094,0.349725050740474,1.11948451504596
100,480,Columba_livia,,vertebrate,0.4905,0.409628927,0.831583023,1.05531472140229,0.333011444069004,1.05612907861933
101,481,Corvus_brachyrhynchos,,vertebrate,0.4922,0.408588241,0.825081289,1.06936279815419,0.337772864735564,1.07036814026234
102,482,Coturnix_japonica,,vertebrate,0.4944,0.410712117,0.823602259,1.05926093273812,0.332862856264209,1.05981797483513
103,483,Crocodylus_porosus,,vertebrate,0.4804,0.434061968,0.835277319,1.04943946117997,0.331932410897438,1.05017603695943
104,484,Cuculus_canorus,,vertebrate,0.4914,0.418269971,0.827629566,1.05655730517026,0.334445245009037,1.05722269871824
105,485,Cyprinodon_variegatus,,vertebrate,0.5212,0.383020507,0.775322855,1.09936826030436,0.343789633883811,1.10057420865602
106,486,Cyprinus_carpio,,vertebrate,0.5023,0.370276097,0.795030713,1.08580746133555,0.342542776775468,1.08642188294891
107,488,Esox_lucius,,vertebrate,0.5466,0.426652014,0.726860762,1.109493197385,0.345936262941821,1.11103987888213
108,489,Eurypyga_helias,,vertebrate,0.4883,0.421089926,0.830566049,1.05391366382319,0.334605397990025,1.05466865622089
109,491,Falco_peregrinus,,vertebrate,0.4863,0.416130963,0.833764195,1.05468823156861,0.333716045378033,1.05539821645571
110,492,Fulmarus_glacialis,,vertebrate,0.4754,0.409420848,0.833770931,1.05077540132357,0.334541351915749,1.05188924570543
111,493,Fundulus_heteroclitus,,vertebrate,0.5517,0.410323693,0.733143747,1.11775602880163,0.347143984573619,1.11988149366565
112,496,Gekko_japonicus,,vertebrate,0.5013,0.453341741,0.837608755,1.04636492229425,0.330095808113991,1.04701233565541
113,497,Geospiza_fortis,,vertebrate,0.5079,0.416764591,0.804771781,1.08726982811674,0.343500074438201,1.08819358742882
114,498,Haliaeetus_albicilla,,vertebrate,0.4638,0.406110001,0.824133933,1.05048103141291,0.334946727853247,1.05200151245183
115,499,Haliaeetus_leucocephalus,,vertebrate,0.4892,0.414876391,0.837802827,1.05148620951177,0.331962713191248,1.0519412049009
116,502,Ictalurus_punctatus,,vertebrate,0.5156,0.40033871,0.783102334,1.08160807331077,0.339122376807905,1.08233701401665
117,503,Labrus_bergylta,,vertebrate,0.5348,0.410243378,0.75632745,1.11339698385335,0.348014623935289,1.11493278267267
118,506,Lepidothrix_coronata,,vertebrate,0.5017,0.411111974,0.823837042,1.06693672773933,0.335516050711201,1.06765661897721
